scenario,seed,success,time_s,path_length_m,shortest_path_m,collisions,min_clearance_m,energy_j,ate_rmse_m,rpe_rmse_m,cpu_mean_ms,cpu_p95_ms
S3,4,1,44.50131947520159,28.67406932890228,25.556219683418927,0,0.4140549384121598,530.3647775892149,0.1796210647797606,0.06423909056408317,29.317510708619285,40.104803555220286
S3,5,0,62.32933803602951,32.713336567435164,24.95025509992321,0,0.42530345405987025,605.1524825394366,0.16367708993247737,0.06889155611892481,33.94480255337597,42.54754683720042
S3,6,1,47.44945964718713,30.39875826230281,23.59861414002798,0,0.43875409127881126,558.4995411876332,0.14352854450914881,0.06385196775073983,31.55830931606068,41.08045598122139
S3,7,1,54.72346859047921,32.10150883704575,23.614992483833117,1,0.3813761632738256,691.3232061646032,0.1735992343840807,0.06464451549117005,33.25574882032928,44.16575154030982
S3,8,1,49.53398624800643,28.8211038787218,23.80083579296295,1,0.42971275325547553,632.2797335049148,0.14506908443170669,0.0662243984840997,33.413192696541294,43.84013839429411
S3,9,0,52.935191378726344,27.976190889470672,25.592072301795262,0,0.37763820479528576,510.90062966721723,0.1502772114910295,0.0534988840894525,32.21033486608548,46.011817424417266
S3,10,1,42.91202491452204,28.775872073645445,24.146987465716293,0,0.4108317435980527,534.4531059506663,0.15840282104502612,0.06258338976793772,34.103926565292134,42.56421063110419
S3,11,1,50.23262793188054,32.53704494410641,24.938924818077723,0,0.4453268582946761,602.6856307027047,0.14159679832058966,0.06421300772266487,31.328966793625202,42.51176272866683
S4,0,0,61.86507383540921,33.71259515089345,28.88652051439443,0,0.28777972312326605,614.410994705507,0.16243192093547135,0.07495337985280828,31.75742013731227,44.66911837977045
S4,1,1,48.118882199975644,30.17499748371411,27.955174536021406,1,0.3255616148150937,655.9423591820519,0.16305544795711074,0.07386665912972674,36.049234995990794,46.70121390554558
S4,2,0,56.39222653749008,30.43606607843617,27.97867993620749,0,0.3681247179233966,564.0199168064617,0.16657289811945988,0.06460488414356266,35.37801746658622,44.77704996706048
S4,3,1,62.500028944345424,38.43589442834309,28.20078035761028,0,0.4126666660243091,706.8662406730476,0.17211207183433228,0.07034771286869337,36.19254518889323,48.64790462096876
S4,4,0,64.40405821519656,39.83199304491253,29.806712678793318,0,0.35804751621677583,736.1301207961588,0.1793382911318896,0.0647998694952404,33.25844226149618,42.307087605481826
S4,5,1,65.99839773288878,39.5049047004344,28.4299020339779,0,0.26887003214834776,728.752169624906,0.15170526955637023,0.06451341606910432,33.067626418920575,46.57349234499572
S4,6,0,64.89128874107982,35.56271197406884,28.309283696302458,0,0.3161840001151457,658.65236623713,0.1627400929492905,0.06945026341477067,31.962066531919344,41.860169658898045
S4,7,1,51.089135567803694,30.927641926522696,27.42659986281126,0,0.2910317212644627,563.4267164078316,0.16523566582846017,0.06271947997813077,32.436468684305204,44.100097219882215
S4,8,1,52.94567600494669,31.45554101919093,29.303449689107786,0,0.32335992833858984,572.9605730465275,0.18398855048188728,0.06076404723346847,33.935847474254615,47.00809140836807
S4,9,0,56.58336230663743,34.595565397898945,28.831128201426246,0,0.3312828077090636,634.4801890006213,0.17713788532070035,0.06392962731724722,35.60348658774876,47.188702935199416
S4,10,1,63.98868570676974,42.70935845168364,29.954800810569004,0,0.32012215999870963,771.3326624436336,0.17306497202414112,0.05927390657779756,31.737747958183707,45.70929385969111
S4,11,0,75.13625360316736,40.58906849798415,29.039187435060843,0,0.3896269936510879,733.5404372691407,0.1508803543662779,0.06030251164243778,33.02239840001706,42.061227787366256
